
超级云TV,#genre#
大陆一区,#genre#
CCTV-4K,http://39.134.176.167/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229373/01.m3u8?fmt=ts2hls
CCTV-4K,http://120.221.64.91/livews-tp4k.cctv.cn/live/4K1218.stream/playlist.m3u8
CCTV-4K,http://39.134.176.148/PLTV/88888888/224/3221226758/index.m3u8
CCTV-4K,http://110.242.20.88/livews-tp4k.cctv.cn/live/4K1218.stream/playlist.m3u8
CCTV-4K,http://111.161.121.214/livews-tp4k.cctv.cn/live/4K1218.stream/playlist.m3u8
CCTV-1综合,http://cjytv.cqdm.xyz/cjytv/api/dl/ym/gzyx.php?id=cctv1
CCTV-1综合,http://39.135.138.59:18890/PLTV/88888910/224/3221225618/index.m3u8
CCTV-1综合,http://39.135.33.12/PLTV/77777777/224/3221226674/index.m3u8
CCTV-1综合,http://cjytv.cqdm.xyz/cjytv/api/dl/大陆频道/咪咕.php?id=cctv1
CCTV-2财经,http://cjytv.cqdm.xyz/cjytv/api/dl/ym/gzyx.php?id=cctv2
CCTV-2财经,http://39.135.138.59:18890/PLTV/88888910/224/3221225619/index.m3u8
CCTV-2财经,http://39.135.33.12/PLTV/77777777/224/3221226642/index.m3u8
CCTV-2财经,http://cjytv.cqdm.xyz/cjytv/api/dl/大陆频道/咪咕.php?id=cctv2
CCTV-3综艺,http://cjytv.cqdm.xyz/cjytv/api/dl/ym/gzyx.php?id=cctv3
CCTV-3综艺,http://39.135.138.59:18890/PLTV/88888910/224/3221225634/index.m3u8
CCTV-3综艺,http://39.135.33.12/PLTV/77777777/224/3221226717/index.m3u8
CCTV-3综艺,http://cjytv.cqdm.xyz/cjytv/api/dl/大陆频道/咪咕.php?id=cctv3
CCTV-4中文国际,http://cjytv.cqdm.xyz/cjytv/api/dl/ym/gzyx.php?id=cctv4
CCTV-4中文国际,http://39.135.33.12/PLTV/77777777/224/3221226817/index.m3u8
CCTV-4中文国际,http://cjytv.cqdm.xyz/cjytv/api/dl/大陆频道/咪咕.php?id=cctv4
CCTV-5体育,http://cjytv.cqdm.xyz/cjytv/api/dl/ym/gzyx.php?id=cctv5
CCTV-5体育,http://39.135.138.59:18890/PLTV/88888910/224/3221225633/index.m3u8
CCTV-5体育,http://39.135.33.12/PLTV/77777777/224/3221226719/index.m3u8
CCTV-5体育,http://cjytv.cqdm.xyz/cjytv/api/dl/大陆频道/咪咕.php?id=cctv5
CCTV-5+体育赛事,http://cjytv.cqdm.xyz/cjytv/api/dl/ym/gzyx.php?id=cctv5plus
CCTV-5+体育赛事,http://39.135.138.59:18890/PLTV/88888910/224/3221225649/index.m3u8
CCTV-5+体育赛事,http://39.135.33.12/PLTV/77777777/224/3221226672/index.m3u8
CCTV-5+体育赛事,http://cjytv.cqdm.xyz/cjytv/api/dl/大陆频道/咪咕.php?id=cctv5plus
CCTV-6电影,http://cjytv.cqdm.xyz/cjytv/api/dl/ym/gzyx.php?id=cctv6
CCTV-6电影,http://39.135.138.59:18890/PLTV/88888910/224/3221225632/index.m3u8
CCTV-6电影,http://39.135.33.12/PLTV/77777777/224/3221226644/index.m3u8
CCTV-6电影,http://cjytv.cqdm.xyz/cjytv/api/dl/大陆频道/咪咕.php?id=cctv6
CCTV-7国防军事,http://cjytv.cqdm.xyz/cjytv/api/dl/ym/gzyx.php?id=cctv7
CCTV-7国防军事,http://39.135.138.59:18890/PLTV/88888910/224/3221225624/index.m3u8
CCTV-7国防军事,http://39.135.33.12/PLTV/77777777/224/3221226646/index.m3u8
CCTV-7国防军事,http://cjytv.cqdm.xyz/cjytv/api/dl/大陆频道/咪咕.php?id=cctv7
CCTV-8电影,http://cjytv.cqdm.xyz/cjytv/api/dl/ym/gzyx.php?id=cctv8
CCTV-9记录,http://cjytv.cqdm.xyz/cjytv/api/dl/ym/gzyx.php?id=cctv9
CCTV-9记录,http://39.135.33.12/PLTV/77777777/224/3221226648/index.m3u8
CCTV-10科教,http://cjytv.cqdm.xyz/cjytv/api/dl/ym/gzyx.php?id=cctv10
CCTV-10科教,http://39.135.138.59:18890/PLTV/88888910/224/3221225627/index.m3u8
CCTV-10科教,http://39.135.33.12/PLTV/77777777/224/3221226640/index.m3u8
CCTV-10科教,http://cjytv.cqdm.xyz/cjytv/api/dl/大陆频道/咪咕.php?id=cctv10
CCTV-11戏曲,http://cjytv.cqdm.xyz/cjytv/api/dl/ym/gzyx.php?id=cctv11
CCTV-11戏曲,http://39.135.138.59:18890/PLTV/88888910/224/3221225628/index.m3u8
CCTV-11戏曲,http://39.135.33.12/PLTV/77777777/224/3221226816/index.m3u8
CCTV-11戏曲,http://cjytv.cqdm.xyz/cjytv/api/dl/大陆频道/咪咕.php?id=cctv11
CCTV-12社会与法,http://cjytv.cqdm.xyz/cjytv/api/dl/ym/gzyx.php?id=cctv12
CCTV-12社会与法,http://39.135.33.12/PLTV/77777777/224/3221226713/index.m3u8
CCTV-12社会与法,http://cjytv.cqdm.xyz/cjytv/api/dl/大陆频道/咪咕.php?id=cctv12
CCTV-13新闻,http://cjytv.cqdm.xyz/cjytv/api/dl/ym/gzyx.php?id=cctv13
CCTV-13新闻,http://39.135.138.59:18890/PLTV/88888910/224/3221225638/index.m3u8
CCTV-13新闻,http://39.135.33.12/PLTV/77777777/224/3221226819/index.m3u8
CCTV-13新闻,http://cjytv.cqdm.xyz/cjytv/api/dl/大陆频道/咪咕.php?id=cctv13
CCTV-14少儿,http://cjytv.cqdm.xyz/cjytv/api/dl/ym/gzyx.php?id=cctv14
CCTV-14少儿,http://39.135.138.59:18890/PLTV/88888910/224/3221225639/index.m3u8
CCTV-14少儿,http://39.135.33.12/PLTV/77777777/224/3221226715/index.m3u8
CCTV-14少儿,http://cjytv.cqdm.xyz/cjytv/api/dl/大陆频道/咪咕.php?id=cctv14
CCTV-15音乐,http://cjytv.cqdm.xyz/cjytv/api/dl/ym/gzyx.php?id=cctv15
CCTV-15音乐,http://39.135.138.59:18890/PLTV/88888910/224/3221225641/index.m3u8
CCTV-15音乐,http://39.135.33.12/PLTV/77777777/224/3221226818/index.m3u8
CCTV-15音乐,http://cjytv.cqdm.xyz/cjytv/api/dl/大陆频道/咪咕.php?id=cctv15
CCTV-17农业农村,http://cjytv.cqdm.xyz/cjytv/api/dl/ym/gzyx.php?id=cctv17
CCTV-17农业农村,http://39.135.33.12/PLTV/77777777/224/3221226815/index.m3u8
CCTV-17农业农村,http://cjytv.cqdm.xyz/cjytv/api/dl/大陆频道/咪咕.php?id=cctv17
贵州卫视,http://cjytv.cqdm.xyz/cjytv/api/dl/ym/gzyx.php?id=gzws
贵州卫视,http://39.135.33.12/PLTV/77777777/224/3221226731/index.m3u8
贵州卫视,http://cjytv.cqdm.xyz/cjytv/api/dl/大陆频道/咪咕.php?id=gzws
辽宁卫视,http://cjytv.cqdm.xyz/cjytv/api/dl/ym/gzyx.php?id=lnws
辽宁卫视,http://39.135.33.12/PLTV/77777777/224/3221226660/index.m3u8
辽宁卫视,http://cjytv.cqdm.xyz/cjytv/api/dl/大陆频道/咪咕.php?id=lnws
吉林卫视,http://cjytv.cqdm.xyz/cjytv/api/dl/ym/gzyx.php?id=jlws
吉林卫视,http://39.135.33.12/PLTV/77777777/224/3221226566/index.m3u8
吉林卫视,http://cjytv.cqdm.xyz/cjytv/api/dl/大陆频道/咪咕.php?id=jlws
北京卫视,http://cjytv.cqdm.xyz/cjytv/api/dl/ym/gzyx.php?id=bjws
北京卫视,http://39.135.33.12/PLTV/77777777/224/3221226670/index.m3u8
北京卫视,http://cjytv.cqdm.xyz/cjytv/api/dl/大陆频道/咪咕.php?id=bjws
浙江卫视,http://cjytv.cqdm.xyz/cjytv/api/dl/ym/gzyx.php?id=zjws
浙江卫视,http://39.135.33.12/PLTV/77777777/224/3221226729/index.m3u8
